,m-b1-2000 Iran DHS,m-b1-2010 Iran MiDHS,b1-b2-2000 Iran DHS,b1-b2-2010 Iran MiDHS,b2-b3-2000 Iran DHS,b2-b3-2010 Iran MiDHS,b3-b4-2000 Iran DHS,b3-b4-2010 Iran MiDHS
1981,0.980,,0.986,,0.982,,0.989,
1982,0.980,,0.986,,0.983,,0.969,
1983,0.972,,0.993,,0.975,,0.984,
1984,0.979,,0.987,,0.983,,0.965,
1985,0.972,,0.980,,0.973,,0.963,
1986,0.978,,0.987,,0.978,,0.958,
1987,0.957,,0.963,,0.956,,0.892,
1988,0.961,,0.970,,0.905,,0.893,
1989,0.961,,0.965,,0.906,,0.898,
1990,0.963,0.960,0.974,0.979,0.887,0.912,0.899,0.893
1991,0.974,0.963,0.946,0.969,0.860,0.860,0.786,0.863
1992,0.966,0.976,0.948,0.942,0.820,0.824,0.774,0.798
1993,0.965,0.972,0.934,0.932,0.771,0.766,0.701,0.735
1994,0.968,0.972,0.930,0.936,0.693,0.752,0.657,0.641
1995,0.966,0.950,0.909,0.926,0.681,0.757,0.636,0.627
1996,0.955,0.953,0.919,0.911,0.627,0.730,0.550,0.556
1997,0.962,0.963,0.876,0.890,0.642,0.621,0.593,0.620
1998,0.951,0.931,0.893,0.915,0.615,0.612,0.576,0.592
1999,0.949,0.942,0.874,0.882,0.603,0.644,0.503,0.561
2000,,0.938,,0.909,,0.646,,0.508
2001,,0.954,,0.852,,0.594,,0.507
2002,,0.920,,0.841,,0.570,,0.503
2003,,0.935,,0.859,,0.561,,0.445
2004,,0.923,,0.815,,0.587,,0.459
2005,,0.958,,0.777,,0.507,,0.439
2006,,0.947,,0.834,,0.527,,0.436
2007,,0.922,,0.830,,0.488,,0.432
2008,,0.935,,0.790,,0.510,,0.396
2009,,0.928,,0.796,,0.487,,0.396
